id	filename	md5	size	state
0db0e29f-bd16-4f9a-944a-9b2b73ae3231	0db0e29f-bd16-4f9a-944a-9b2b73ae3231/f94feb03-e191-4328-9818-7220696e3a86.rna_seq.augmented_star_gene_counts.tsv	7edd93248c2d77dd1e72dbf15b2d036e	4235412	validated
1c7d0c48-1ff5-4de3-9e47-ad3a67dde79a	1c7d0c48-1ff5-4de3-9e47-ad3a67dde79a/850c83fc-adb5-4f71-bba6-006022c4f4c5.rna_seq.augmented_star_gene_counts.tsv	460981f6848d34eb8078c69f83cc4670	4189743	validated
1d970f75-011a-4fc6-a151-1ad62e016c35	1d970f75-011a-4fc6-a151-1ad62e016c35/0c792398-8789-4708-bc3a-73b0bde80175.rna_seq.augmented_star_gene_counts.tsv	1ca1d48901cb0892928d74ba26237016	4215959	validated
1f1c530d-5934-4bfb-bc45-d5d7d632301d	1f1c530d-5934-4bfb-bc45-d5d7d632301d/3a9a7eaf-120e-4c63-8185-a27f697ce299.rna_seq.augmented_star_gene_counts.tsv	7d559753865f795e0ea3cb55a5dafa7b	4215346	validated
2099feee-53e9-4c8d-b4f1-f80a55b34e1c	2099feee-53e9-4c8d-b4f1-f80a55b34e1c/bdae6108-fe46-463f-98de-58d5f680bdaf.rna_seq.augmented_star_gene_counts.tsv	43336e24206a66c02af5e6af2e0ec4d5	4215435	validated
216abb23-24f6-483a-9295-afc8732236b7	216abb23-24f6-483a-9295-afc8732236b7/26afaa53-4039-4efd-a008-9578dea6a301.rna_seq.augmented_star_gene_counts.tsv	afde3cfa13c93ab63b04d0057a03d3a0	4203737	validated
223dce04-4892-4f9b-b136-f6254b10a285	223dce04-4892-4f9b-b136-f6254b10a285/b65a7b29-61ac-495f-b06c-065909a2971b.rna_seq.augmented_star_gene_counts.tsv	8c6704bece78a9fd016ccb96c775319d	4229066	validated
22fa5d91-428b-42b0-a5b0-f0729aee9635	22fa5d91-428b-42b0-a5b0-f0729aee9635/382cce5b-8d34-481d-b746-d1defc817a08.rna_seq.augmented_star_gene_counts.tsv	e2107197a6d7fbf68d2aad0038898092	4204543	validated
24036f4b-2361-48e9-a4a0-ef5f5c7d2dd9	24036f4b-2361-48e9-a4a0-ef5f5c7d2dd9/3fe63e9d-8cdd-4e22-b1f0-475a23e075f7.rna_seq.augmented_star_gene_counts.tsv	8d2530131b9ac04a2d61eebec5eb3ceb	4210786	validated
25af10e2-b273-48de-a61e-d17f2942e0bd	25af10e2-b273-48de-a61e-d17f2942e0bd/0df5b21d-6ab0-4d21-a801-9e0dd4230ffb.rna_seq.augmented_star_gene_counts.tsv	67d9a49cf814e1fba8dfc88263cbde8f	4221463	validated
276aeda4-33d9-45c4-abe5-734da78a78ea	276aeda4-33d9-45c4-abe5-734da78a78ea/ddc9ddb7-8686-4cd7-8f81-71ff37c8203e.rna_seq.augmented_star_gene_counts.tsv	aee381856a2d9a3e0671b34bfc455d15	4184330	validated
29fb9a0c-a98a-4884-a6f2-79b0de3dfee9	29fb9a0c-a98a-4884-a6f2-79b0de3dfee9/c1f10672-b50f-453b-ba18-3a5858a10bf6.rna_seq.augmented_star_gene_counts.tsv	8ca3badaa8c62a231b6fb83a772b59ad	4186285	validated
2c941f66-90ae-4126-9ff4-44ce398c3d3f	2c941f66-90ae-4126-9ff4-44ce398c3d3f/f42e7ae4-f25b-4cec-a514-cd7f47dd43b8.rna_seq.augmented_star_gene_counts.tsv	38d1b6229e7f8bdd71440d2088804008	4215934	validated
